,uuid,name_first,country,male,level,gender,F,M,?
93789,eda101ee-f092-11eb-b0cf-121df0c29c1e,Kamal,US,1.0,2.0,M,0.0,1.0,0.0
93790,eda126b8-f092-11eb-b0cf-121df0c29c1e,Mark,GB,1.0,1.0,M,0.0,1.0,0.0
93791,eda12ea3-f092-11eb-b0cf-121df0c29c1e,Ruigang,CN,,,,,,
93792,eda136a1-f092-11eb-b0cf-121df0c29c1e,Harshal,US,1.0,1.0,M,0.0,1.0,0.0
93793,eda13bea-f092-11eb-b0cf-121df0c29c1e,Jovin Dsa,JP,1.0,3.0,M,0.0,1.0,0.0
93794,eda1468a-f092-11eb-b0cf-121df0c29c1e,PengZhen,CN,,,,,,
93795,eda1777e-f092-11eb-b0cf-121df0c29c1e,Andrea,IT,1.0,1.0,M,0.0,1.0,0.0
93796,eda17a1f-f092-11eb-b0cf-121df0c29c1e,Paolo,IT,,1.0,M,0.0,1.0,0.0
93797,eda1a2fa-f3ce-11eb-b0cf-121df0c29c1e,Karsten,DE,1.0,1.0,M,0.0,1.0,0.0
93798,eda1a69d-f3ce-11eb-b0cf-121df0c29c1e,Jorg,DE,1.0,1.0,M,0.0,1.0,0.0
93799,eda1cc31-f092-11eb-b0cf-121df0c29c1e,Munetoshi,JP,,,,,,
93800,eda1d196-f092-11eb-b0cf-121df0c29c1e,Adrian,US,1.0,2.0,M,0.0,1.0,0.0
93801,eda1e9e8-f092-11eb-b0cf-121df0c29c1e,Andrejs,DE,1.0,2.0,M,0.0,1.0,0.0
93802,eda21f63-f092-11eb-b0cf-121df0c29c1e,David,DE,1.0,1.0,M,0.0,1.0,0.0
93803,eda24b60-f092-11eb-b0cf-121df0c29c1e,Basil,US,1.0,2.0,M,0.0,1.0,0.0
93804,eda29438-f092-11eb-b0cf-121df0c29c1e,Ernesto,ES,1.0,1.0,M,0.0,1.0,0.0
93805,eda296d3-f092-11eb-b0cf-121df0c29c1e,Jesus,ES,1.0,2.0,M,0.0,1.0,0.0
93806,eda29973-f092-11eb-b0cf-121df0c29c1e,Victor M.,US,1.0,2.0,M,0.0,1.0,0.0
93807,eda2a140-f092-11eb-b0cf-121df0c29c1e,Osamu,JP,1.0,1.0,M,0.0,1.0,0.0
93808,eda2f844-f3ce-11eb-b0cf-121df0c29c1e,Nigel Bruce,GB,1.0,1.0,M,0.0,1.0,0.0
93809,eda30781-f3ce-11eb-b0cf-121df0c29c1e,Nigel Bruce,GB,1.0,1.0,M,0.0,1.0,0.0
93810,eda317d7-f3ce-11eb-b0cf-121df0c29c1e,RYAN,US,1.0,2.0,M,0.0,1.0,0.0
93811,eda34bdc-f3ce-11eb-b0cf-121df0c29c1e,Ali,AU,1.0,,,,,
93812,eda3537a-f3ce-11eb-b0cf-121df0c29c1e,Alastair,AU,1.0,1.0,M,0.0,1.0,0.0
93813,eda3611b-f3ce-11eb-b0cf-121df0c29c1e,Eugenie,AU,0.0,1.0,F,1.0,0.0,0.0
93814,eda3ece8-f3ce-11eb-b0cf-121df0c29c1e,Gabriel,US,1.0,2.0,M,0.0,1.0,0.0
93815,eda3ffcc-f092-11eb-b0cf-121df0c29c1e,Nicolas,GB,1.0,1.0,M,0.0,1.0,0.0
93816,eda407b8-f092-11eb-b0cf-121df0c29c1e,Yair,IL,1.0,1.0,M,0.0,1.0,0.0
93817,eda40a60-f092-11eb-b0cf-121df0c29c1e,Liron,IL,1.0,1.0,M,0.0,1.0,0.0
93818,eda43600-f3ce-11eb-b0cf-121df0c29c1e,Lochana Subasekara,AU,0.0,3.0,F,1.0,0.0,0.0
93819,eda43607-f092-11eb-b0cf-121df0c29c1e,Chad M.,US,1.0,2.0,M,0.0,1.0,0.0
93820,eda46717-f3ce-11eb-b0cf-121df0c29c1e,Hernan Carlos,CA,1.0,1.0,M,0.0,1.0,0.0
93821,eda46b1f-f3ce-11eb-b0cf-121df0c29c1e,Joshua,CA,1.0,2.0,M,0.0,1.0,0.0
93822,eda4885a-f092-11eb-b0cf-121df0c29c1e,Robert Rodrigues,GB,1.0,1.0,M,0.0,1.0,0.0
93823,eda48aff-f092-11eb-b0cf-121df0c29c1e,Mark Antony,GB,1.0,1.0,M,0.0,1.0,0.0
93824,eda48db1-f092-11eb-b0cf-121df0c29c1e,Zhao,CN,1.0,3.0,M,0.0,1.0,0.0
93825,eda4a54d-f3ce-11eb-b0cf-121df0c29c1e,Sarah-Marie,US,0.0,2.0,F,1.0,0.0,0.0
93826,eda4c492-f092-11eb-b0cf-121df0c29c1e,Sujin,KR,,,,,,
93827,eda4c86c-f092-11eb-b0cf-121df0c29c1e,Sangkyu,KR,,,,,,
93828,eda4cbda-f3ce-11eb-b0cf-121df0c29c1e,Aaron,US,1.0,2.0,M,0.0,1.0,0.0
93829,eda4d5b9-f092-11eb-b0cf-121df0c29c1e,Xianming,CN,,,,,,
93830,eda4daec-f092-11eb-b0cf-121df0c29c1e,Meng,CN,,,,,,
93831,eda4e2db-f092-11eb-b0cf-121df0c29c1e,Hyunjun,KR,1.0,3.0,M,0.0,1.0,0.0
93832,eda506ec-f3ce-11eb-b0cf-121df0c29c1e,Tarun,US,1.0,1.0,M,0.0,1.0,0.0
93833,eda5a70f-f3ce-11eb-b0cf-121df0c29c1e,Hyeonjeong,KR,,,,,,
93834,eda5bb22-f3ce-11eb-b0cf-121df0c29c1e,Max P.,US,1.0,2.0,M,0.0,1.0,0.0
93835,eda5bea2-f3ce-11eb-b0cf-121df0c29c1e,Devan,US,1.0,2.0,M,0.0,1.0,0.0
93836,eda5c940-f3ce-11eb-b0cf-121df0c29c1e,Hanzon R.,US,,2.0,M,0.0,1.0,0.0
93837,eda5ccc1-f3ce-11eb-b0cf-121df0c29c1e,Jeffrey Clayton,US,1.0,2.0,M,0.0,1.0,0.0
93838,eda7d465-f092-11eb-b0cf-121df0c29c1e,Dongkyoon,KR,,,,,,
93839,eda814f9-f3ce-11eb-b0cf-121df0c29c1e,Teresa,US,0.0,1.0,F,0.99717474,0.0,0.0
93840,eda8542f-f3ce-11eb-b0cf-121df0c29c1e,Jacek K.,US,1.0,1.0,M,0.0,1.0,0.0
93841,eda8859e-f092-11eb-b0cf-121df0c29c1e,Kingsuk,US,1.0,3.0,M,0.0,1.0,0.0
93842,eda8b022-f3ce-11eb-b0cf-121df0c29c1e,Katia,IT,0.0,1.0,F,1.0,0.0,0.0
93843,eda8b3b6-f3ce-11eb-b0cf-121df0c29c1e,Vicente,ES,1.0,1.0,M,0.0,1.0,0.0
93844,eda8bc83-f092-11eb-b0cf-121df0c29c1e,Chaohao,US,,,,,,
93845,eda8be7f-f3ce-11eb-b0cf-121df0c29c1e,Irfan,TR,1.0,1.0,M,0.0,1.0,0.0
93846,eda8c49e-f092-11eb-b0cf-121df0c29c1e,Eun Ryeol,KR,0.0,2.0,F,1.0,0.0,0.0
