,name_first,country,level,gender,F,M,?
46422,Nag B.,US,2.0,M,0.0,1.0,0.0
21542,Xue,CN,3.0,F,1.0,0.0,0.0
54203,Yannick,FR,2.0,M,0.0,1.0,0.0
43365,Sushmita,IN,1.0,F,1.0,0.0,0.0
7932,Zhe,US,,not found,not found,not found,not found
7933,Hikoshi,JP,,not found,not found,not found,not found
7934,Donglai,CN,,not found,not found,not found,not found
7935,Jeongtae,KR,,not found,not found,not found,not found
53766,Wantanee,US,2.0,F,1.0,0.0,0.0
38342,Bindu,US,1.0,F,1.0,0.0,0.0
7936,Myongsoo,KR,,not found,not found,not found,not found
7937,Ziruo,US,,not found,not found,not found,not found
7938,Yaneev,IL,,not found,not found,not found,not found
7939,Ahram,KR,,not found,not found,not found,not found
7940,Kuanping,US,,not found,not found,not found,not found
44614,Min Kyoung,KR,1.0,?,0.0,0.0,1.0
31639,Reagan A.,US,1.0,F,0.85896015,0.0,0.0
45965,Alexander,GB,2.0,M,0.0,1.0,0.0
35217,Hyun Ju,KR,1.0,?,0.0,0.0,1.0
41813,Arunkumar,IN,1.0,M,0.0,1.0,0.0
47393,Dan,US,2.0,M,0.0,1.0,0.0
7941,Jun,CN,,not found,not found,not found,not found
7942,Kiok Boone Elgin,SG,,not found,not found,not found,not found
50144,Kenneth Ralph,US,2.0,M,0.0,1.0,0.0
21543,Liang,CN,3.0,M,0.0,1.0,0.0
21544,Zeshan,CN,3.0,M,0.0,1.0,0.0
39504,Taku,JP,1.0,M,0.0,1.0,0.0
21545,Jialong,CN,3.0,M,0.0,1.0,0.0
36428,Melissa,US,1.0,F,0.99667341,0.0,0.0
54217,Yeimi-Guadalupe,MX,2.0,F,1.0,0.0,0.0
7943,Bingjie,CN,,not found,not found,not found,not found
49111,Jason E.,US,2.0,M,0.0,1.0,0.0
7944,Xiangrong,CN,,not found,not found,not found,not found
7945,Yunwon,KR,,not found,not found,not found,not found
21546,Tao,US,3.0,M,0.0,1.0,0.0
7946,Chanro,US,,not found,not found,not found,not found
43932,Subhankar,US,1.0,M,0.0,1.0,0.0
50314,Kun,US,2.0,M,0.0,1.0,0.0
34604,Jing,US,1.0,F,0.92206907,0.0,0.0
7947,Youngjin,KR,,not found,not found,not found,not found
29642,Nicolas,FR,1.0,M,0.0,1.0,0.0
42745,Damien,FR,1.0,M,0.0,1.0,0.0
21547,Dennis,IL,3.0,M,0.0,1.0,0.0
30566,Dror,IL,1.0,M,0.0,1.0,0.0
21548,Balagangadhar,US,3.0,M,0.0,1.0,0.0
21549,Chao-Cheng,TW,3.0,M,0.0,1.0,0.0
37677,Linn,SE,1.0,F,1.0,0.0,0.0
27398,Pin,US,1.0,M,0.0,1.0,0.0
52291,Richard J.,US,2.0,M,0.0,1.0,0.0
21550,Ping,CN,3.0,M,0.0,1.0,0.0
49312,Jiang,US,2.0,M,0.0,1.0,0.0
7948,Jing,CN,,not found,not found,not found,not found
21551,Ofek,IL,3.0,M,0.0,1.0,0.0
36461,Hyeong Joon,KR,1.0,?,0.0,0.0,1.0
47764,Dine,FI,2.0,F,1.0,0.0,0.0
29447,Hervé,FR,1.0,M,0.0,1.0,0.0
35215,Hyun Seung,KR,1.0,?,0.0,0.0,1.0
