,name_first,country,level,gender,F,M,?
44530,Chee Mun,AU,1.0,M,0.0,1.0,0.0
150,Yanlong,CN,,not found,not found,not found,not found
151,Penghao,DE,,not found,not found,not found,not found
152,Gerning,CN,,not found,not found,not found,not found
39580,Patrick,FR,1.0,M,0.0,1.0,0.0
34981,Tatsuya,JP,1.0,M,0.0,1.0,0.0
48518,Gerardo,US,2.0,M,0.0,1.0,0.0
47270,Christopher,US,2.0,M,0.0,1.0,0.0
50509,Lei,CN,2.0,M,0.0,1.0,0.0
45209,José Lucas Lemos,GB,1.0,M,0.0,1.0,0.0
47384,Clint Huson,US,2.0,M,0.0,1.0,0.0
42398,Carin,SE,1.0,F,1.0,0.0,0.0
153,Xianghe,CN,,not found,not found,not found,not found
154,Lee-Lean,US,,not found,not found,not found,not found
155,Sejeong,KR,,not found,not found,not found,not found
44995,Ekas Kaur,CA,1.0,F,1.0,0.0,0.0
17755,Xun,CN,3.0,M,0.0,1.0,0.0
156,Dohyoung,KR,,not found,not found,not found,not found
157,Fengli,CN,,not found,not found,not found,not found
28351,Kyu Man,KR,1.0,?,0.0,0.0,1.0
53118,Siqi,US,2.0,F,1.0,0.0,0.0
47845,Derek,CA,2.0,M,0.0,1.0,0.0
33086,John Camilo,DE,1.0,M,0.0,1.0,0.0
158,HoYoung,KR,,not found,not found,not found,not found
35466,Tsutomu,US,1.0,M,0.0,1.0,0.0
34343,Ji-Yong,KR,1.0,F,1.0,0.0,0.0
36630,Yeon Hee,KR,1.0,?,0.0,0.0,1.0
28543,Koji,JP,1.0,M,0.0,1.0,0.0
41010,Shi Man,US,1.0,F,0.83889323,0.0,0.0
54171,Xinying,US,2.0,F,1.0,0.0,0.0
17756,Akiro,JP,3.0,M,0.0,1.0,0.0
159,Dahua,CN,,not found,not found,not found,not found
41821,Byeong Moon,KR,1.0,?,0.0,0.0,1.0
17757,Zhiwei,CN,3.0,M,0.0,1.0,0.0
40783,Sang-Hee,KR,1.0,F,1.0,0.0,0.0
160,Jinwon,KR,,not found,not found,not found,not found
33797,Jovan,RS,1.0,M,0.0,1.0,0.0
51559,Nicholas J.,US,2.0,M,0.0,1.0,0.0
42836,Armaan K,IN,1.0,M,0.0,1.0,0.0
51668,Nisha,IN,2.0,F,1.0,0.0,0.0
53208,Stephen,US,2.0,M,0.0,1.0,0.0
42401,Christophe,FR,1.0,M,0.0,1.0,0.0
40891,Sharon,US,1.0,F,0.99574679,0.0,0.0
161,Yuri,CO,,not found,not found,not found,not found
17758,Bo,CN,3.0,M,0.0,1.0,0.0
40220,Stefan,SE,1.0,M,0.0,1.0,0.0
44835,Gang,US,1.0,M,0.0,1.0,0.0
17759,Jinghan,US,3.0,F,1.0,0.0,0.0
44772,Dong-woo,KR,1.0,M,0.0,1.0,0.0
17760,Liang,CN,3.0,M,0.0,1.0,0.0
53964,William C.,US,2.0,M,0.0,1.0,0.0
162,Qianjun,CN,,not found,not found,not found,not found
163,Fengbao,CN,,not found,not found,not found,not found
31451,Hubert,DE,1.0,M,0.0,1.0,0.0
33505,Jung Cheol,KR,1.0,?,0.0,0.0,1.0
43924,Dingxiang,CN,1.0,M,0.0,1.0,0.0
31087,Martyn Gray,GB,1.0,M,0.0,1.0,0.0
17761,Nisita,FR,3.0,F,1.0,0.0,0.0
44753,Andreas,DE,1.0,M,0.0,1.0,0.0
